DepDelay,Distance,Month,DayofMonth,DayOfWeek,ArrDelay,WeatherCondition
-4.0,722.0,4,20,3,-12.0,Sunny
-8.0,641.0,4,3,7,-12.0,Sunny
-4.0,547.0,4,9,6,-15.0,Sunny
1.0,957.0,4,11,1,2.0,Sunny
3.0,1250.0,4,6,3,5.0,Rainy
-10.0,364.0,4,17,7,-14.0,Sunny
-6.0,1533.0,4,12,2,3.0,Windy
41.0,404.0,4,22,5,36.0,Windy
19.0,190.0,4,5,2,18.0,Windy
7.0,1216.0,4,20,3,4.0,Windy
-10.0,583.0,4,14,4,-20.0,Rainy
7.0,1947.0,4,12,2,-1.0,Rainy
-4.0,192.0,4,28,4,21.0,Windy
20.0,1721.0,4,24,7,13.0,Sunny
-3.0,853.0,4,11,1,-4.0,Windy
2.0,657.0,4,24,7,-11.0,Sunny
-9.0,489.0,4,20,3,-21.0,Rainy
-7.0,337.0,4,10,7,-30.0,Cloudy
0.0,1009.0,4,6,3,-21.0,Rainy
-4.0,1400.0,4,23,6,3.0,Cloudy
19.0,1426.0,4,4,1,-5.0,Sunny
-1.0,867.0,4,15,5,-16.0,Sunny
-8.0,544.0,4,6,3,-15.0,Cloudy
-1.0,588.0,4,1,5,11.0,Windy
-4.0,1389.0,4,23,6,-1.0,Windy
-5.0,227.0,4,29,5,-4.0,Cloudy
-1.0,615.0,4,5,2,-5.0,Windy
-8.0,1009.0,4,26,2,-25.0,Rainy
-5.0,238.0,4,21,4,-11.0,Windy
92.0,258.0,4,18,1,74.0,Windy
29.0,143.0,4,5,2,80.0,Rainy
119.0,861.0,4,7,4,148.0,Cloudy
-6.0,1066.0,4,20,3,-12.0,Cloudy
-8.0,997.0,4,4,1,-26.0,Sunny
2.0,577.0,4,18,1,6.0,Cloudy
65.0,1124.0,4,11,1,64.0,Windy
-7.0,991.0,4,8,5,-10.0,Windy
1.0,130.0,4,17,7,-5.0,Sunny
345.0,583.0,4,15,5,335.0,Sunny
4.0,509.0,4,26,2,-24.0,Windy
56.0,2176.0,4,11,1,87.0,Rainy
27.0,572.0,4,13,3,19.0,Rainy
8.0,1747.0,4,20,3,-1.0,Rainy
-2.0,212.0,4,1,5,13.0,Cloudy
-3.0,1300.0,4,20,3,-20.0,Sunny
-3.0,634.0,4,5,2,11.0,Windy
-9.0,1097.0,4,13,3,-22.0,Sunny
0.0,1121.0,4,6,3,-25.0,Cloudy
-1.0,231.0,4,1,5,1.0,Windy
15.0,358.0,4,7,4,9.0,Sunny
0.0,1744.0,4,21,4,0.0,Rainy
-10.0,678.0,4,12,2,-34.0,Cloudy
0.0,1121.0,4,5,2,1.0,Cloudy
-9.0,2615.0,4,2,6,1.0,Cloudy
16.0,1258.0,4,20,3,-1.0,Windy
14.0,692.0,4,16,6,34.0,Sunny
13.0,129.0,4,15,5,11.0,Sunny
-9.0,337.0,4,17,7,-21.0,Sunny
29.0,731.0,4,25,1,23.0,Cloudy
2.0,2475.0,4,7,4,-20.0,Windy
5.0,213.0,4,25,1,11.0,Windy
25.0,404.0,4,14,4,26.0,Windy
17.0,667.0,4,28,4,12.0,Cloudy
-2.0,1576.0,5,21,6,-7.0,Windy
47.0,936.0,5,15,7,31.0,Windy
-6.0,2343.0,5,12,4,-27.0,Mostly Sunny
-8.0,313.0,5,14,6,0.0,Sunny
16.0,439.0,5,26,4,6.0,Mostly Sunny
-3.0,1744.0,5,18,3,1.0,Mostly Sunny
-2.0,456.0,5,18,3,4.0,Windy
-1.0,284.0,5,25,3,0.0,Mostly Sunny
-3.0,421.0,5,2,1,-15.0,Windy
14.0,872.0,5,26,4,3.0,Windy
8.0,270.0,5,18,3,-3.0,Mostly Sunny
-3.0,1242.0,5,1,7,-9.0,Mostly Sunny
5.0,109.0,5,7,6,-12.0,Sunny
